IIT Bhubaneswar,Civil Engineering,A4109
IIT Bhubaneswar,Electrical Engineering,A4111
IIT Bhubaneswar,Mechanical Engineering,A4125
IIT Bombay,Aerospace Engineering,B4101
IIT Bombay,Chemical Engineering,B4107
IIT Bombay,Civil Engineering,B4109
IIT Bombay,Computer Science and Engineering,B4110
IIT Bombay,Electrical Engineering,B4111
IIT Bombay,Engineering Physics,B4117
IIT Bombay,Mechanical Engineering,B4125
IIT Bombay,Metallurgical Engineering and Materials Science,B4128
IIT Bombay,Chemical Engineering,B5210
IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing ,B5219
IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics,B5221
IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering ,B5226
IIT Bombay,Engineering Physics with M.Tech. in Engineering Physics with specialization in Nano Science ,B5229
IIT Bombay,Mechanical Engineering with M.Tech. in Computer Aided Design and Automation ,B5234
IIT Bombay,Mechanical Engineering with M.Tech. in Computer Integrated Manufacturing ,B5235
IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites ,B5244
IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering ,B5245
IIT Bombay,Chemistry,B5503
IIT Delhi,Chemical Engineering,D4107
IIT Delhi,Civil Engineering,D4109
IIT Delhi,Computer Science and Engineering,D4110
IIT Delhi,Electrical Engineering,D4111
IIT Delhi,Electrical Engineering (Power),D4112
IIT Delhi,Engineering Physics,D4117
IIT Delhi,Mechanical Engineering,D4125
IIT Delhi,Production and Industrial Engineering,D4136
IIT Delhi,Textile Technology,D4139
IIT Delhi,Biochemical Engineering and Biotechnology,D5205
IIT Delhi,Chemical Engineering,D5210
IIT Delhi,Computer Science and Engineering,D5216
IIT Delhi,Electrical Engineering with M.Tech. in Information and Communication Technology ,D5220
IIT Delhi,Mathematics and Computing,D5305
IIT Gandhinagar,Chemical Engineering,N4107
IIT Gandhinagar,Electrical Engineering,N4111
IIT Gandhinagar,Mechanical Engineering,N4125
IIT Guwahati,Biotechnology,W4104
IIT Guwahati,Chemical Engineering,W4107
IIT Guwahati,Chemical Science and Technology,W4108
IIT Guwahati,Civil Engineering,W4109
IIT Guwahati,Computer Science and Engineering,W4110
IIT Guwahati,Electronics and Communication Engineering,W4114
IIT Guwahati,Electronics and Electrical Engineering,W4116
IIT Guwahati,Engineering Physics,W4117
IIT Guwahati,Mathematics and Computing,W4124
IIT Guwahati,Mechanical Engineering,W4125
IIT Guwahati,Design,W4401
IIT Hyderabad,Chemical Engineering,H4107
IIT Hyderabad,Civil Engineering,H4109
IIT Hyderabad,Computer Science and Engineering,H4110
IIT Hyderabad,Electrical Engineering,H4111
